BLOCK,TRAY_ID,X,Y,ROTATION,LENGTH,WIDTH,FFL,TRAY_HEIGHT,SYSTEM,STATUS
SCADA_TRAY_ST,T-01,80,-180,0,1000,300,2700,,SCADA,OK
SCADA_TRAY_ST,T-02,1200,-220,0,800,100,2700,,POWER,OK
SCADA_TRAY_EL90,E-01,2100,-220,0,,300,2700,,SCADA,OK
SCADA_TRAY_ST,T-03,2550,-670,270,400,300,3200,,SCADA,OK
SCADA_TRAY_RED,R-01,80,-500,0,600,300,2700,,SCADA,OK
SCADA_TRAY_ST,T-04,800,-500,0,700,200,2700,,SCADA,OK
SCADA_TRAY_TEE,TEE-01,1900,-650,0,,300,2700,,SCADA,OK
SCADA_TRAY_ST,T-AUTO-01,80,-1050,0,800,300,2700,,SCADA,OK
SCADA_TRAY_ST,T-AUTO-02,1080,-600,270,300,300,2700,,SCADA,OK
SCADA_TRAY_ST,T-AUTO-03,1200,-1090,0,250,200,2700,,SCADA,OK
SCADA_TRAY_ST,T-AUTO-04,1950,-1090,180,250,150,2700,,SCADA,NON_STANDARD_WIDTH
SCADA_TRAY_ST,T-AUTO-05,1500,-1350,0,1200,300,2700,,CONTROL,OK
SCADA_TRAY_ST,T-AUTO-06,2100,-1800,90,300,300,2700,,CONTROL,OK
